TestAlgorithm,N,Runtime(ms)
Algorithm1_OptimizedDP,10000,0.500780
Algorithm1_OptimizedDP,20000,1.006260
Algorithm1_OptimizedDP,30000,1.540450
Algorithm1_OptimizedDP,40000,2.005250
Algorithm1_OptimizedDP,50000,2.503030
Algorithm1_OptimizedDP,60000,3.008130
Algorithm1_OptimizedDP,70000,3.457520
Algorithm1_OptimizedDP,80000,4.049390
Algorithm1_OptimizedDP,90000,4.501520
Algorithm1_OptimizedDP,100000,4.893770
Algorithm2_DirectDP,500,1.083800
Algorithm2_DirectDP,1000,6.135000
Algorithm2_DirectDP,1500,16.429600
Algorithm2_DirectDP,2000,32.026100
Algorithm2_DirectDP,2500,53.049500
Algorithm2_DirectDP,3000,79.664200
Algorithm2_DirectDP,3500,110.727600
Algorithm2_DirectDP,4000,147.500800
Algorithm2_DirectDP,4500,187.735300
Algorithm2_DirectDP,5000,235.555400
Algorithm3_ComplementaryDP,500,57.834000
Algorithm3_ComplementaryDP,1000,114.356000
Algorithm3_ComplementaryDP,1500,169.953000
Algorithm3_ComplementaryDP,2000,223.879000
Algorithm3_ComplementaryDP,2500,276.490000
Algorithm3_ComplementaryDP,3000,338.585000
Algorithm3_ComplementaryDP,3500,398.669000
Algorithm3_ComplementaryDP,4000,455.950000
Algorithm3_ComplementaryDP,4500,503.789000
Algorithm3_ComplementaryDP,5000,561.178000
Algorithm4_BruteForce,10,0.003470
Algorithm4_BruteForce,12,0.014400
Algorithm4_BruteForce,14,0.061210
Algorithm4_BruteForce,16,0.236870
Algorithm4_BruteForce,18,0.973400
Algorithm4_BruteForce,20,3.913700
Algorithm4_BruteForce,22,15.733330
