Algorithm,TestMode,N,Runtime(ms),FillRatio,Height
NFDH,Identical Rectangles,100,0.0200,0.8824,255
FFDH,Identical Rectangles,100,0.0200,0.8824,255
BFDH,Identical Rectangles,100,0.0200,0.8824,255
BL,Identical Rectangles,100,1.1000,0.8824,255
BL_Online,Identical Rectangles,100,1.1500,0.8824,255
NFDH,Uniform Distribution,100,0.0000,0.8543,295
FFDH,Uniform Distribution,100,0.0000,0.9404,268
BFDH,Uniform Distribution,100,0.0100,0.9404,268
BL,Uniform Distribution,100,1.4400,0.9001,280
BL_Online,Uniform Distribution,100,1.6000,0.8373,301
NFDH,High Std Normal Distribution,100,0.0000,0.8177,290
FFDH,High Std Normal Distribution,100,0.0200,0.9263,256
BFDH,High Std Normal Distribution,100,0.0100,0.9263,256
BL,High Std Normal Distribution,100,1.3900,0.8686,273
BL_Online,High Std Normal Distribution,100,1.6300,0.8177,290
NFDH,Identical Rectangles,200,0.0700,0.8824,510
FFDH,Identical Rectangles,200,0.0800,0.8824,510
BFDH,Identical Rectangles,200,0.0800,0.8824,510
BL,Identical Rectangles,200,4.2500,0.8824,510
BL_Online,Identical Rectangles,200,4.1500,0.8824,510
NFDH,Uniform Distribution,200,0.0100,0.8842,535
FFDH,Uniform Distribution,200,0.0100,0.9634,491
BFDH,Uniform Distribution,200,0.0100,0.9634,491
BL,Uniform Distribution,200,6.0800,0.8942,529
BL_Online,Uniform Distribution,200,7.4200,0.8184,578
NFDH,High Std Normal Distribution,200,0.0100,0.8568,652
FFDH,High Std Normal Distribution,200,0.0200,0.9485,589
BFDH,High Std Normal Distribution,200,0.0100,0.9485,589
BL,High Std Normal Distribution,200,6.3400,0.8688,643
BL_Online,High Std Normal Distribution,200,6.7800,0.8038,695
NFDH,Identical Rectangles,300,0.1400,0.9000,750
FFDH,Identical Rectangles,300,0.1800,0.9000,750
BFDH,Identical Rectangles,300,0.1600,0.9000,750
BL,Identical Rectangles,300,9.3700,0.9000,750
BL_Online,Identical Rectangles,300,9.3200,0.9000,750
NFDH,Uniform Distribution,300,0.0100,0.8866,788
FFDH,Uniform Distribution,300,0.0300,0.9744,717
BFDH,Uniform Distribution,300,0.0400,0.9757,716
BL,Uniform Distribution,300,14.6000,0.9049,772
BL_Online,Uniform Distribution,300,16.8700,0.8377,834
NFDH,High Std Normal Distribution,300,0.0200,0.8587,797
FFDH,High Std Normal Distribution,300,0.0200,0.9680,707
