Operation,N,Time(ms)
insert,1000,0.109306
find,1000,0.061476
delete,1000,0.093230
insert,5000,0.877810
find,5000,0.565490
delete,5000,0.827370
insert,10000,2.022940
find,10000,1.497700
delete,10000,1.987520
insert,25000,6.202300
find,25000,4.627650
delete,25000,6.100050
insert,50000,14.878400
find,50000,12.812600
delete,50000,13.595300
insert,75000,25.666500
find,75000,24.077000
delete,75000,22.899500
insert,100000,39.617600
find,100000,35.958800
delete,100000,34.698200
insert,200000,126.080600
find,200000,136.683400
delete,200000,96.557600
insert,300000,213.778400
find,300000,212.444000
delete,300000,174.208200
insert,400000,326.867400
find,400000,338.146800
delete,400000,247.631400
insert,500000,455.486600
find,500000,461.917000
delete,500000,338.965600
insert,750000,787.690800
find,750000,863.286600
delete,750000,589.840400
insert,1000000,1131.509200
find,1000000,1197.002200
delete,1000000,893.974600
